#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/1M pop,Deaths/1M pop,Total Tests,Population
,Asia,"2,256,384","+44,951","55,730",+944,"1,476,196","+35,631","724,458","19,141",,,,
,North America,"3,124,318","+53,082","167,103",+717,"1,360,213","+28,368","1,597,002","18,919",,,,
,South America,"2,186,528","+39,693","83,614","+1,272","1,267,061","+34,273","835,853","12,789",,,,
,Europe,"2,429,234","+12,266","191,026",+266,"1,356,945","+6,649","881,263","5,753",,,,
,Africa,"396,314","+10,910","9,914",+216,"189,722","+4,424","196,678",924,,,,
,Oceania,"9,407",+83,126,,"8,599",+29,682,1,,,,
,World,"10,402,906","+160,985","507,528","+3,415","5,659,387","+109,374","4,235,991","57,531","1,335",65.1,,
1,China,"83,512",+12,"4,634 ",,"78,460",+9,418,8,58,3,"90,410,000","62,814"
2,USA,"2,681,811","+44,734","128,783 ",+346,"1,117,177","+23,721","1,435,851","15,864","8,102",389,"33,189,513","100,271"
3,Brazil,"1,370,488","+25,234","58,385 ",+727,"757,462","+23,614","554,641","8,318","6,448",275,"3,017,350","14,196"
4,Russia,"641,156","+6,719","9,166 ",+93,"403,430","+4,343","228,560","2,300","4,393",63,"19,334,442","132,487"
5,India,"567,536","+18,339","16,904 ",+417,"335,271","+13,497","215,361","8,944",411,12,"8,398,362","6,086"
6,UK,"311,965",+814,"43,575 ",+25,N/A,N/A,N/A,276,"4,595",642,"9,290,215","136,852"
7,Spain,"296,050",+200,"28,346 ",+3,N/A,N/A,N/A,617,"6,332",606,"5,162,909","110,425"
8,Peru,"282,365","+2,946","9,504 ",+187,"171,159","+3,161","101,702","1,183","8,565",288,"1,661,324","50,391"
9,Chile,"275,999","+4,017","5,575 ",+66,"236,154","+3,944","34,270","2,090","14,438",292,"1,096,443","57,359"
10,Italy,"240,436",+126,"34,744 ",+6,"189,196",+305,"16,496",96,"3,977",575,"5,341,837","88,351"
11,Iran,"225,205","+2,536","10,670 ",+162,"186,180","+2,870","28,355","3,037","2,681",127,"1,639,078","19,516"
12,Mexico,"216,852","+4,050","26,648 ",+267,"126,843","+3,046","63,361",378,"1,682",207,"556,198","4,314"
13,Pakistan,"206,512","+3,557","4,167 ",+49,"95,407","+2,783","106,938","2,437",935,19,"1,262,162","5,715"
14,Turkey,"198,613","+1,374","5,115 ",+18,"171,809","+1,214","21,689","1,018","2,355",61,"3,331,158","39,500"
15,Germany,"195,392",+528,"9,041 ",+12,"178,100",+400,"8,251",332,"2,332",108,"5,412,655","64,603"
